timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
03:22:14,35,23,26,770900,31908,7207,12239,3504,4871,1601,51669,0,F,0.22019993048161268,0.10980002116411924
03:22:15,47,27,0,1141743,258878,125502,81846,22446,121615,16439,741106,0,F,0.1805999781936407,0.11589995119720697
03:22:16,47,41,0,1402862,49407,27077,54506,16744,13395,2324,153615,0,F,0.1852000132203102,0.11479994282126427
03:22:17,56,35,0,584787,44821,8649,3636,3762,18531,2660,110888,0,F,0.16449997201561928,0.1066999975591898
03:22:18,56,35,26,1874466,1107433,671615,280421,196516,378262,64094,1676816,0,F,2.151499968022108,0.10349997319281101
03:22:19,56,35,26,434268,39456,967,4958,5104,10576,1056,35482,0,F,0.25889999233186245,0.2001000102609396
03:22:20,70,24,0,95052,53982,22372,4986,2228,35748,988,148265,1,F,0.1740999286994338,0.11369993444532156
03:22:21,75,21,0,651796,193846,97080,14477,13192,103489,3663,571286,0,F,0.16559998039156199,0.1094000181183219
03:22:22,74,24,0,825673,735788,1407122,106866,52839,215743,7945,2132013,0,F,0.16109994612634182,0.10459998156875372
03:22:23,81,29,0,1667048,144731,76568,21979,6807,166365,3829,711404,0,F,5.985999945551157,0.10619999375194311
