timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
03:56:57,38,69,0,1970504,911844,436728,130972,19667,255355,4948,1636621,0,F,0.21029997151345015,0.10119995567947626
03:56:58,44,66,0,359222,115018,6381,124440,2152,84793,1196,416046,0,F,0.1799999736249447,0.1039999770000577
03:56:59,43,74,0,2738462,1377982,553683,149602,10472,197441,3201,1708528,0,F,0.1534000039100647,0.09649991989135742
03:57:00,48,77,0,1731846,813368,359614,175514,16050,338633,3103,1655925,0,F,0.16149994917213917,0.1023999648168683
03:57:01,37,74,0,214400,1486913,237774,268464,28971,171937,4694,1786237,0,F,0.1531000016257167,0.09460002183914185
03:57:02,30,64,0,629553,360230,97107,29986,4557,109350,1760,433820,0,F,0.15330000314861536,0.09489990770816803
03:57:03,41,63,0,346134,313931,5421,119705,4950,87768,2022,418834,0,F,0.16010005492717028,0.09540002793073654
03:57:04,40,60,0,1061824,252357,27914,84096,4139,81473,2042,407845,0,F,0.1818999880924821,0.10880001354962587
03:57:05,54,57,0,584908,261956,80836,14229,2688,83500,1646,411054,0,F,0.1637000823393464,0.1050999853760004
03:57:06,41,64,0,2234599,1167218,809432,53290,17300,181558,15809,1729554,0,F,0.1466000685468316,0.08850009180605412
03:57:07,48,64,0,275769,222578,47247,56808,2568,93825,1348,416615,0,F,0.15350000467151403,0.09630003478378057
03:57:08,48,66,0,825039,1207450,443141,155813,19083,391228,4800,1729676,0,F,0.1569000305607915,0.09720004163682461
03:57:09,53,69,0,614166,201897,27224,81702,1270,108520,913,426109,0,F,2.444299985654652,0.10489998385310173
03:57:10,63,63,0,819598,1248283,353848,79828,20200,282945,7990,1678050,0,F,0.15840004198253155,0.09930005762726068
03:57:11,60,74,0,1698416,475252,753651,39560,13122,297268,9040,1768865,0,F,0.15410000924021006,0.0950000248849392
03:57:12,63,74,0,2441520,922491,253998,212371,14052,327745,3506,1667779,0,F,0.15189999248832464,0.09400001727044582
03:57:13,53,77,0,913226,719589,303554,232215,36422,228107,1625,1790220,0,F,0.1506000990048051,0.09320001117885113
03:57:14,60,80,0,2067333,721527,388652,82206,22278,342272,5183,1732900,0,F,0.16279995907098055,0.10419997852295637
03:57:15,51,75,0,1632428,635803,311671,247150,25846,192523,4736,1744250,0,F,0.15600002370774746,0.09750004392117262
03:57:16,41,80,0,1119106,997705,581562,244086,27200,202029,6536,1783963,0,F,0.1602000556886196,0.09980006143450737
03:57:17,54,83,0,82594,21147,1123,30320,534,23504,327,105895,0,F,0.15029998030513525,0.0934000127017498
