timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
17:34:48,26,24,51,981192,109390,62630,30031,16013,3212,1635,1853,0,L,0.15959999291226268,0.09499999578110874
17:34:49,78,75,0,4092,9216,8197,3627,6416,6306,1462,150387,0,L,0.15910000365693122,0.09960000170394778
17:34:50,84,70,0,3171,5592,1845,3870,3092,3702,1500,130948,0,L,0.1475999888498336,0.0906999921426177
17:34:51,91,54,0,5922,9103,600,2927,4434,4529,1662,149512,0,L,0.1478000049246475,0.09130001126322895
17:34:52,90,48,0,21771,10483,3590,4288,3347,3137,1865,146936,0,L,0.1508999994257465,0.0923000043258071
17:34:53,87,53,0,2894,7458,8427,7177,5774,4678,1643,127763,0,L,0.14910000027157366,0.09190000128000975
17:34:54,81,51,0,5022,9624,3088,3917,5956,3195,1242,131506,0,L,0.1466999965487048,0.09010000212583691
17:34:55,75,67,0,5154,7413,5409,7416,2431,3707,3973,133529,0,L,0.17669999215286225,0.1176999940071255
17:34:56,80,69,0,6013,3776,3933,2165,4275,2586,3842,151482,0,L,0.1581999968038872,0.09249999129679054
17:34:57,75,77,0,6603,2588,12577,936,3673,2020,1577,137550,0,L,0.15029999485705048,0.09329999738838524
17:34:58,83,75,0,9092,5652,3206,656,2816,4188,3376,139035,0,L,0.15159999020397663,0.09469999349676073
17:34:59,81,78,0,4677,3148,7126,5838,3464,2705,1535,152493,0,L,0.1610000035725534,0.09760000102687627
17:35:00,83,83,0,4142,5155,3595,4690,2478,3909,2153,129703,0,L,6.249199999729171,0.0940000027185306
17:35:01,83,77,0,5559,6618,5421,2847,1848,2063,1363,146623,0,L,0.15600000915583223,0.09210000280290842
17:35:02,66,84,0,4557,12612,9383,5283,7609,2178,1275,145012,0,L,0.1525000116089359,0.09390000195708126
