attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,label,delta_mean,delta_std,delta_max,delta_min,delta_p2p,theta_mean,theta_std,theta_max,theta_min,theta_p2p,low_alpha_mean,low_alpha_std,low_alpha_max,low_alpha_min,low_alpha_p2p,high_alpha_mean,high_alpha_std,high_alpha_max,high_alpha_min,high_alpha_p2p,low_beta_mean,low_beta_std,low_beta_max,low_beta_min,low_beta_p2p,high_beta_mean,high_beta_std,high_beta_max,high_beta_min,high_beta_p2p,low_gamma_mean,low_gamma_std,low_gamma_max,low_gamma_min,low_gamma_p2p,mid_gamma_mean,mid_gamma_std,mid_gamma_max,mid_gamma_min,mid_gamma_p2p
66,81,6686,6625,1464,5441,6180,3397,1253,248762,L,6686.0,0.0,6686.0,6686.0,0.0,6625.0,0.0,6625.0,6625.0,0.0,1464.0,0.0,1464.0,1464.0,0.0,5441.0,0.0,5441.0,5441.0,0.0,6180.0,0.0,6180.0,6180.0,0.0,3397.0,0.0,3397.0,3397.0,0.0,1253.0,0.0,1253.0,1253.0,0.0,248762.0,0.0,248762.0,248762.0,0.0
84,75,8005,10750,2952,2354,5830,4569,7009,204971,L,7345.5,932.6738443850562,8005.0,6686.0,1319.0,8687.5,2916.8154723945086,10750.0,6625.0,4125.0,2208.0,1052.1748904055828,2952.0,1464.0,1488.0,3897.5,2182.838633522872,5441.0,2354.0,3087.0,6005.0,247.48737341529164,6180.0,5830.0,350.0,3983.0,828.7291475506337,4569.0,3397.0,1172.0,4131.0,4070.1066325097677,7009.0,1253.0,5756.0,226866.5,30964.9130549401,248762.0,204971.0,43791.0
90,81,22812,11245,8438,6427,3148,8001,1786,197921,L,12501.0,8953.90869955686,22812.0,6686.0,16126.0,9540.0,2536.5675626720454,11245.0,6625.0,4620.0,4284.666666666667,3673.032716071739,8438.0,1464.0,6974.0,4740.666666666667,2124.8958405845055,6427.0,2354.0,4073.0,5052.666666666667,1658.7469166010028,6180.0,3148.0,3032.0,5322.333333333333,2392.663230238082,8001.0,3397.0,4604.0,3349.3333333333335,3180.549061613943,7009.0,1253.0,5756.0,217218.0,27544.392841375175,248762.0,197921.0,50841.0
81,83,7145,6275,5517,8284,3785,3721,2927,208759,L,12654.0,8807.588943632645,22812.0,7145.0,15667.0,9423.333333333334,2737.7469447217604,11245.0,6275.0,4970.0,5635.666666666667,2744.924467691841,8438.0,2952.0,5486.0,5688.333333333333,3033.223752599424,8284.0,2354.0,5930.0,4254.333333333333,1401.2445658532754,5830.0,3148.0,2682.0,5430.333333333333,2266.2791825662907,8001.0,3721.0,4280.0,3907.3333333333335,2746.03756954149,7009.0,1786.0,5223.0,203883.66666666666,5500.207390029341,208759.0,197921.0,10838.0
77,78,17792,27194,6565,3118,8515,5426,3313,220515,L,15916.333333333334,8000.144769523445,22812.0,7145.0,15667.0,14904.666666666666,10929.135845680266,27194.0,6275.0,20919.0,6840.0,1479.790187830696,8438.0,5517.0,2921.0,5943.0,2616.7882986592554,8284.0,3118.0,5166.0,5149.333333333333,2932.1027153449677,8515.0,3148.0,5367.0,5716.0,2154.6867521753597,8001.0,3721.0,4280.0,2675.3333333333335,793.9989504611037,3313.0,1786.0,1527.0,209065.0,11300.107787096547,220515.0,197921.0,22594.0
69,84,696416,12343,5281,8837,9088,3973,4226,195193,L,240451.0,394913.15573300415,696416.0,7145.0,689271.0,15270.666666666666,10762.414428618391,27194.0,6275.0,20919.0,5787.666666666667,683.4539730906067,6565.0,5281.0,1284.0,6746.333333333333,3154.370671518066,8837.0,3118.0,5719.0,7129.333333333333,2910.413429967182,9088.0,3785.0,5303.0,4373.333333333333,920.3023054047698,5426.0,3721.0,1705.0,3488.6666666666665,667.0789558465581,4226.0,2927.0,1299.0,208155.66666666666,12671.776881453257,220515.0,195193.0,25322.0
57,63,29845,32791,18297,7643,15001,4753,2088,189897,L,248017.66666666666,388371.10822553904,696416.0,17792.0,678624.0,24109.333333333332,10567.239579631634,32791.0,12343.0,20448.0,10047.666666666666,7172.920558136229,18297.0,5281.0,13016.0,6532.666666666667,3016.8477477879683,8837.0,3118.0,5719.0,10868.0,3590.730984075527,15001.0,8515.0,6486.0,4717.333333333333,727.1563334891159,5426.0,3973.0,1453.0,3209.0,1072.7874906056657,4226.0,2088.0,2138.0,201868.33333333334,16364.154036592705,220515.0,189897.0,30618.0
23,29,909675,614007,94461,21557,38417,25765,5157,158661,L,545312.0,458965.7082364651,909675.0,29845.0,879830.0,219713.66666666666,341621.0688896886,614007.0,12343.0,601664.0,39346.333333333336,48172.3356848444,94461.0,5281.0,89180.0,12679.0,7711.716540433783,21557.0,7643.0,13914.0,20835.333333333332,15510.549452979843,38417.0,9088.0,29329.0,11497.0,12362.603609272603,25765.0,3973.0,21792.0,3823.6666666666665,1573.56103578264,5157.0,2088.0,3069.0,181250.33333333334,19741.337070556634,195193.0,158661.0,36532.0
20,21,1194647,431048,31800,30342,25068,11226,2074,156658,L,711389.0,607189.3676177145,1194647.0,29845.0,1164802.0,359282.0,297179.70780489035,614007.0,32791.0,581216.0,48186.0,40640.05992859755,94461.0,18297.0,76164.0,19847.333333333332,11445.670375007894,30342.0,7643.0,22699.0,26162.0,11746.27136584201,38417.0,15001.0,23416.0,13914.666666666666,10760.935476682933,25765.0,4753.0,21012.0,3106.3333333333335,1775.94322356694,5157.0,2074.0,3083.0,168405.33333333334,18639.254393170715,189897.0,156658.0,33239.0
10,29,91734,91569,37528,1549,26381,9444,2228,172052,L,732018.6666666666,572516.9001630724,1194647.0,91734.0,1102913.0,378874.6666666667,265097.92246325384,614007.0,91569.0,522438.0,54596.333333333336,34642.40511762042,94461.0,31800.0,62661.0,17816.0,14756.541701902923,30342.0,1549.0,28793.0,29955.333333333332,7357.366671121756,38417.0,25068.0,13349.0,15478.333333333334,8952.961204726253,25765.0,9444.0,16321.0,3153.0,1737.2222080090967,5157.0,2074.0,3083.0,162457.0,8369.64879788875,172052.0,156658.0,15394.0
7,16,111077,172171,36481,6557,6288,4127,1359,152839,L,465819.3333333333,631257.3672333127,1194647.0,91734.0,1102913.0,231596.0,177369.65870463866,431048.0,91569.0,339479.0,35269.666666666664,3050.0807093146095,37528.0,31800.0,5728.0,12816.0,15383.124617580135,30342.0,1549.0,28793.0,19245.666666666668,11240.855676207813,26381.0,6288.0,20093.0,8265.666666666666,3693.277992966864,11226.0,4127.0,7099.0,1887.0,463.6992559838768,2228.0,1359.0,869.0,160516.33333333334,10171.032117407456,172052.0,152839.0,19213.0
16,14,275934,90463,11375,5836,9813,11105,6681,161740,L,159581.66666666666,101227.1555282151,275934.0,91734.0,184200.0,118067.66666666667,46858.12434715368,172171.0,90463.0,81708.0,28461.333333333332,14806.45610311032,37528.0,11375.0,26153.0,4647.333333333333,2707.344147561099,6557.0,1549.0,5008.0,14160.666666666666,10728.877682839593,26381.0,6288.0,20093.0,8225.333333333334,3645.1313190793758,11105.0,4127.0,6978.0,3422.6666666666665,2855.0555744736976,6681.0,1359.0,5322.0,162210.33333333334,9615.131425692212,172052.0,152839.0,19213.0
30,35,231253,15374,3809,10874,1445,2835,616,46359,L,206088.0,85260.86752432272,275934.0,111077.0,164857.0,92669.33333333333,78421.78098164637,172171.0,15374.0,156797.0,17221.666666666668,17102.705322063302,36481.0,3809.0,32672.0,7755.666666666667,2724.5113935040413,10874.0,5836.0,5038.0,5848.666666666667,4201.263659107057,9813.0,1445.0,8368.0,6022.333333333333,4448.869669178154,11105.0,2835.0,8270.0,2885.3333333333335,3308.069880358233,6681.0,616.0,6065.0,120312.66666666667,64200.19906770799,161740.0,46359.0,115381.0
17,50,150762,12683,18339,1345,2054,547,148,9667,L,219316.33333333334,63433.984616555834,275934.0,150762.0,125172.0,39506.666666666664,44149.98641373863,90463.0,12683.0,77780.0,11174.333333333334,7267.078184066288,18339.0,3809.0,14530.0,6018.333333333333,4767.115934538758,10874.0,1345.0,9529.0,4437.333333333333,4665.411485960659,9813.0,1445.0,8368.0,4829.0,5554.265748053473,11105.0,547.0,10558.0,2481.6666666666665,3644.249762754103,6681.0,148.0,6533.0,72588.66666666667,79357.07840094248,161740.0,9667.0,152073.0
29,51,1054810,221984,42684,28763,36328,18685,6476,181579,L,478941.6666666667,500337.8391370509,1054810.0,150762.0,904048.0,83347.0,120070.70290874448,221984.0,12683.0,209301.0,21610.666666666668,19642.91878345305,42684.0,3809.0,38875.0,13660.666666666666,13919.79936397552,28763.0,1345.0,27418.0,13275.666666666666,19966.22834521667,36328.0,1445.0,34883.0,7355.666666666667,9877.959370909224,18685.0,547.0,18138.0,2413.3333333333335,3526.145393107513,6476.0,148.0,6328.0,79201.66666666667,90539.57422770074,181579.0,9667.0,171912.0
17,57,701887,287740,79522,31973,38925,12976,3773,167685,L,635819.6666666666,455630.73423149734,1054810.0,150762.0,904048.0,174135.66666666666,143635.59991984343,287740.0,12683.0,275057.0,46848.333333333336,30803.34602495862,79522.0,18339.0,61183.0,20693.666666666668,16833.12809115802,31973.0,1345.0,30628.0,25769.0,20578.800280871576,38925.0,2054.0,36871.0,10736.0,9274.155541072192,18685.0,547.0,18138.0,3465.6666666666665,3175.175008300067,6476.0,148.0,6328.0,119643.66666666667,95495.60836673764,181579.0,9667.0,171912.0
