timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms),delta_mean,delta_std,delta_max,delta_min,delta_p2p,theta_mean,theta_std,theta_max,theta_min,theta_p2p,low_alpha_mean,low_alpha_std,low_alpha_max,low_alpha_min,low_alpha_p2p,high_alpha_mean,high_alpha_std,high_alpha_max,high_alpha_min,high_alpha_p2p,low_beta_mean,low_beta_std,low_beta_max,low_beta_min,low_beta_p2p,high_beta_mean,high_beta_std,high_beta_max,high_beta_min,high_beta_p2p,low_gamma_mean,low_gamma_std,low_gamma_max,low_gamma_min,low_gamma_p2p,mid_gamma_mean,mid_gamma_std,mid_gamma_max,mid_gamma_min,mid_gamma_p2p
23:31:27,63,57,0,1418043,630135,162121,167835,13764,265062,9944,1380609,0,N,6.244200048968196,0.1093000173568725,1418043.0,0.0,1418043.0,1418043.0,0.0,630135.0,0.0,630135.0,630135.0,0.0,162121.0,0.0,162121.0,162121.0,0.0,167835.0,0.0,167835.0,167835.0,0.0,13764.0,0.0,13764.0,13764.0,0.0,265062.0,0.0,265062.0,265062.0,0.0,9944.0,0.0,9944.0,9944.0,0.0,1380609.0,0.0,1380609.0,1380609.0,0.0
23:31:28,80,66,0,528050,240878,6885,132817,2504,118300,4229,509565,0,N,0.1571999164298176,0.0990999396890401,973046.5,629320.085508559,1418043.0,528050.0,889993.0,435506.5,275246.26432433195,630135.0,240878.0,389257.0,84503.0,109768.4282842749,162121.0,6885.0,155236.0,150326.0,24761.465263590522,167835.0,132817.0,35018.0,8134.0,7962.022356160525,13764.0,2504.0,11260.0,191681.0,103776.40542050009,265062.0,118300.0,146762.0,7086.5,4041.115254481119,9944.0,4229.0,5715.0,945087.0,615921.119111855,1380609.0,509565.0,871044.0
23:31:29,78,70,0,55248,73282,9552,27740,433,31687,584,137877,0,N,0.153500004671514,0.0946000218391418,667113.6666666666,691958.5107116852,1418043.0,55248.0,1362795.0,314765.0,285684.76066986844,630135.0,73282.0,556853.0,59519.333333333336,88865.6554824941,162121.0,6885.0,155236.0,109464.0,72908.67035545224,167835.0,27740.0,140095.0,5567.0,7173.936645942728,13764.0,433.0,13331.0,138349.66666666666,117972.30397993137,265062.0,31687.0,233375.0,4919.0,4717.994807118804,9944.0,584.0,9360.0,676017.0,637867.8602845577,1380609.0,137877.0,1242732.0
23:31:30,94,77,0,96767,21587,1355,48679,902,37250,480,167536,0,N,2.358999918214977,0.0924000050872564,226688.33333333334,261811.18662565472,528050.0,55248.0,472802.0,111915.66666666667,114636.62512623674,240878.0,21587.0,219291.0,5930.666666666667,4181.0006378057815,9552.0,1355.0,8197.0,69745.33333333333,55615.97596314689,132817.0,27740.0,105077.0,1279.6666666666667,1085.9255652821391,2504.0,433.0,2071.0,62412.333333333336,48479.998002612694,118300.0,31687.0,86613.0,1764.3333333333333,2135.097265543969,4229.0,480.0,3749.0,271659.3333333333,206565.3498153389,509565.0,137877.0,371688.0
23:31:31,90,75,0,453582,520595,4360,223110,2016,142470,1812,682263,0,N,0.1562000252306461,0.0963000347837805,201865.66666666666,218978.97431108178,453582.0,55248.0,398334.0,205154.66666666666,274399.42816327687,520595.0,21587.0,499008.0,5089.0,4146.840122309878,9552.0,1355.0,8197.0,99843.0,107264.5113586036,223110.0,27740.0,195370.0,1117.0,813.1057741770132,2016.0,433.0,1583.0,70469.0,62416.7024361268,142470.0,31687.0,110783.0,958.6666666666666,740.8355643011032,1812.0,480.0,1332.0,329225.3333333333,306099.01932925783,682263.0,137877.0,544386.0
23:31:32,94,81,0,65106,23055,2281,48695,552,39026,597,175068,0,N,0.1536000054329633,0.0945000210776925,205151.66666666666,215728.5971315194,453582.0,65106.0,388476.0,188412.33333333334,287679.56441383413,520595.0,21587.0,499008.0,2665.3333333333335,1538.9250577374794,4360.0,1355.0,3005.0,106828.0,100703.16632062767,223110.0,48679.0,174431.0,1156.6666666666667,764.503324605808,2016.0,552.0,1464.0,72915.33333333333,60242.65337228541,142470.0,37250.0,105220.0,963.0,737.5791482952868,1812.0,480.0,1332.0,341622.3333333333,295027.5082027663,682263.0,167536.0,514727.0
23:31:33,93,81,0,413511,333775,45683,146706,2540,152742,4223,695661,0,N,0.1627999590709805,0.0985999358817935,310733.0,213660.6856841007,453582.0,65106.0,388476.0,292475.0,251328.0334542886,520595.0,23055.0,497540.0,17441.333333333332,24480.0809298771,45683.0,2281.0,43402.0,139503.66666666666,87430.27656557728,223110.0,48695.0,174415.0,1702.6666666666667,1030.3733951016657,2540.0,552.0,1988.0,111412.66666666667,62898.73312979627,152742.0,39026.0,113716.0,2210.6666666666665,1845.5812995729377,4223.0,597.0,3626.0,517664.0,296772.45662796946,695661.0,175068.0,520593.0
23:31:34,77,69,0,888674,766925,31637,198086,1615,163256,6512,689768,0,N,5.874000024050474,0.0995000591501593,455763.6666666667,413406.6140452199,888674.0,65106.0,823568.0,374585.0,373610.4071087956,766925.0,23055.0,743870.0,26533.666666666668,22146.476228360407,45683.0,2281.0,43402.0,131162.33333333334,75898.76086164603,198086.0,48695.0,149391.0,1569.0,994.7979694390214,2540.0,552.0,1988.0,118341.33333333333,68889.96752309678,163256.0,39026.0,124230.0,3777.3333333333335,2982.5778000470223,6512.0,597.0,5915.0,520165.6666666667,298877.870569792,695661.0,175068.0,520593.0
23:31:35,69,67,0,533643,709960,136688,92331,3679,116758,1582,639570,0,N,0.1587000442668795,0.0998000614345073,611942.6666666666,247069.01362237518,888674.0,413511.0,475163.0,603553.3333333334,235364.6419034374,766925.0,333775.0,433150.0,71336.0,57030.56598877482,136688.0,31637.0,105051.0,145707.66666666666,52884.567771074144,198086.0,92331.0,105755.0,2611.3333333333335,1033.847345275565,3679.0,1615.0,2064.0,144252.0,24383.93069215866,163256.0,116758.0,46498.0,4105.666666666667,2467.0934991064555,6512.0,1582.0,4930.0,674999.6666666666,30824.1434971571,695661.0,639570.0,56091.0
23:31:36,57,61,0,130084,471890,2779,198978,2540,124727,5277,625868,0,N,0.1591000473126769,0.1005000667646527,517467.0,379553.6118350082,888674.0,130084.0,758590.0,649591.6666666666,156507.71405375938,766925.0,471890.0,295035.0,57034.666666666664,70474.72010822983,136688.0,2779.0,133909.0,163131.66666666666,61316.79799478552,198978.0,92331.0,106647.0,2611.3333333333335,1033.847345275565,3679.0,1615.0,2064.0,134913.66666666666,24866.486167798827,163256.0,116758.0,46498.0,4457.0,2565.2533987892893,6512.0,1582.0,4930.0,651735.3333333334,33642.220517280555,689768.0,625868.0,63900.0
