attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,label,delta_mean,delta_std,delta_max,delta_min,delta_p2p,theta_mean,theta_std,theta_max,theta_min,theta_p2p,low_alpha_mean,low_alpha_std,low_alpha_max,low_alpha_min,low_alpha_p2p,high_alpha_mean,high_alpha_std,high_alpha_max,high_alpha_min,high_alpha_p2p,low_beta_mean,low_beta_std,low_beta_max,low_beta_min,low_beta_p2p,high_beta_mean,high_beta_std,high_beta_max,high_beta_min,high_beta_p2p,low_gamma_mean,low_gamma_std,low_gamma_max,low_gamma_min,low_gamma_p2p,mid_gamma_mean,mid_gamma_std,mid_gamma_max,mid_gamma_min,mid_gamma_p2p
78,54,321523,114568,17436,15102,1885,3445,973,98750,N,321523.0,0.0,321523.0,321523.0,0.0,114568.0,0.0,114568.0,114568.0,0.0,17436.0,0.0,17436.0,17436.0,0.0,15102.0,0.0,15102.0,15102.0,0.0,1885.0,0.0,1885.0,1885.0,0.0,3445.0,0.0,3445.0,3445.0,0.0,973.0,0.0,973.0,973.0,0.0,98750.0,0.0,98750.0,98750.0,0.0
88,53,822439,189481,89139,6269,15799,47685,3432,469848,N,571981.0,354201.10040484066,822439.0,321523.0,500916.0,152024.5,52971.490299027835,189481.0,114568.0,74913.0,53287.5,50701.677531419016,89139.0,17436.0,71703.0,10685.5,6245.874198220774,15102.0,6269.0,8833.0,8842.0,9838.683753429623,15799.0,1885.0,13914.0,25565.0,31282.403999692862,47685.0,3445.0,44240.0,2202.5,1738.7755749377204,3432.0,973.0,2459.0,284299.0,262405.9122847654,469848.0,98750.0,371098.0
87,56,1395473,180331,109068,33471,11329,31852,4604,455004,N,846478.3333333334,537378.4213990485,1395473.0,321523.0,1073950.0,161460.0,40866.555678207085,189481.0,114568.0,74913.0,71881.0,48192.16512048405,109068.0,17436.0,91632.0,18280.666666666668,13876.784293680337,33471.0,6269.0,27202.0,9671.0,7103.630902573697,15799.0,1885.0,13914.0,27660.666666666668,22415.83940728817,47685.0,3445.0,44240.0,3003.0,1853.1246585159888,4604.0,973.0,3631.0,341200.6666666667,210099.5726062605,469848.0,98750.0,371098.0
88,53,124702,28538,23523,3385,5166,14303,2121,136111,N,780871.3333333334,636404.4600679142,1395473.0,124702.0,1270771.0,132783.33333333334,90394.95431899578,189481.0,28538.0,160943.0,73910.0,44759.67590365239,109068.0,23523.0,85545.0,14375.0,16600.369754918112,33471.0,3385.0,30086.0,10764.666666666666,5338.916213365155,15799.0,5166.0,10633.0,31280.0,16698.34928967531,47685.0,14303.0,33382.0,3385.6666666666665,1242.148273489656,4604.0,2121.0,2483.0,353654.3333333333,188544.19241210617,469848.0,136111.0,333737.0
100,37,404055,184242,10703,1123,7495,53364,6780,570070,N,641410.0,667808.1914958815,1395473.0,124702.0,1270771.0,131037.0,88788.27473827837,184242.0,28538.0,155704.0,47764.666666666664,53475.808627203885,109068.0,10703.0,98365.0,12659.666666666666,18058.595109623933,33471.0,1123.0,32348.0,7996.666666666667,3111.9759532061507,11329.0,5166.0,6163.0,33173.0,19563.97738191291,53364.0,14303.0,39061.0,4501.666666666667,2331.185177829795,6780.0,2121.0,4659.0,387061.6666666667,224815.97788932465,570070.0,136111.0,433959.0
100,43,1406726,186274,32355,150789,35776,29986,4659,499274,N,645161.0,674162.7856615938,1406726.0,124702.0,1282024.0,133018.0,90488.0381929015,186274.0,28538.0,157736.0,22193.666666666668,10887.039144475128,32355.0,10703.0,21652.0,51765.666666666664,85764.17998986135,150789.0,1123.0,149666.0,16145.666666666666,17040.20394048538,35776.0,5166.0,30610.0,32551.0,19656.4200453694,53364.0,14303.0,39061.0,4520.0,2332.6081968474687,6780.0,2121.0,4659.0,401818.3333333333,232816.04035017284,570070.0,136111.0,433959.0
100,61,697543,116181,30663,60396,24342,68032,2525,527375,N,836108.0,515497.3113208255,1406726.0,404055.0,1002671.0,162232.33333333334,39894.56394464452,186274.0,116181.0,70093.0,24573.666666666668,12042.10369218492,32355.0,10703.0,21652.0,70769.33333333333,75370.30199178807,150789.0,1123.0,149666.0,22537.666666666668,14226.575636228607,35776.0,7495.0,28281.0,50460.666666666664,19188.448017839622,68032.0,29986.0,38046.0,4654.666666666667,2127.5033098289964,6780.0,2525.0,4255.0,532239.6666666666,35647.82097594912,570070.0,499274.0,70796.0
100,63,1843814,98473,93569,59913,40116,43337,7465,543851,N,1316027.6666666667,578492.819412941,1843814.0,697543.0,1146271.0,133642.66666666666,46432.06060830527,186274.0,98473.0,87801.0,52195.666666666664,35840.343878558604,93569.0,30663.0,62906.0,90366.0,52328.41024720702,150789.0,59913.0,90876.0,33411.333333333336,8148.527801592959,40116.0,24342.0,15774.0,47118.333333333336,19302.80783547651,68032.0,29986.0,38046.0,4883.0,2477.606102672497,7465.0,2525.0,4940.0,523500.0,22539.719408191042,543851.0,499274.0,44577.0
100,54,74010,36541,23920,1437,14739,9591,2346,132153,N,871789.0,897676.3342045952,1843814.0,74010.0,1769804.0,83731.66666666667,41816.41521380499,116181.0,36541.0,79640.0,49384.0,38413.5741763247,93569.0,23920.0,69649.0,40582.0,33901.42461608363,60396.0,1437.0,58959.0,26399.0,12812.941465565202,40116.0,14739.0,25377.0,40320.0,29337.081262456904,68032.0,9591.0,58441.0,4112.0,2905.162129727014,7465.0,2346.0,5119.0,401126.3333333333,233083.36529519496,543851.0,132153.0,411698.0
100,57,1836305,604157,242726,22864,11372,51776,6906,552126,N,1251376.3333333333,1019636.0666533592,1843814.0,74010.0,1769804.0,246390.33333333334,311378.60233056045,604157.0,36541.0,567616.0,120071.66666666667,111784.65867163228,242726.0,23920.0,218806.0,28071.333333333332,29583.743582131967,59913.0,1437.0,58476.0,22075.666666666668,15713.82806108472,40116.0,11372.0,28744.0,34901.333333333336,22321.82587364513,51776.0,9591.0,42185.0,5572.333333333333,2808.0313982100224,7465.0,2346.0,5119.0,409376.6666666667,240118.38731411906,552126.0,132153.0,419973.0
90,56,1384854,251175,91531,24431,41970,30320,6467,509871,N,1098389.6666666667,915405.5262343206,1836305.0,74010.0,1762295.0,297291.0,286604.24797270534,604157.0,36541.0,567616.0,119392.33333333333,112032.16872993816,242726.0,23920.0,218806.0,16244.0,12847.151785512653,24431.0,1437.0,22994.0,22693.666666666668,16778.466626403424,41970.0,11372.0,30598.0,30562.333333333332,21093.54404393281,51776.0,9591.0,42185.0,5239.666666666667,2515.5834975872563,6906.0,2346.0,4560.0,398050.0,231240.74514021087,552126.0,132153.0,419973.0
87,44,870248,1760881,326048,132656,34842,293752,21411,2149054,N,1363802.3333333333,483372.43541014387,1836305.0,870248.0,966057.0,872071.0,789706.5816846152,1760881.0,251175.0,1509706.0,220101.66666666666,118884.19224746966,326048.0,91531.0,234517.0,59983.666666666664,62940.96357963814,132656.0,22864.0,109792.0,29394.666666666668,16009.824525376082,41970.0,11372.0,30598.0,125282.66666666667,146292.6081158352,293752.0,30320.0,263432.0,11594.666666666666,8504.027300834196,21411.0,6467.0,14944.0,1070350.3333333333,934423.6574575439,2149054.0,509871.0,1639183.0
