timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
09:58:09,23,100,0,187498,3669,5074,6887,1684,3986,494,74531,0,N,0.24000019766390324,0.12179999612271786
09:58:10,23,100,0,1562397,182982,11364,26298,3739,9764,1516,304892,0,N,0.15629990957677364,0.09939982555806637
09:58:11,13,90,0,1812163,170121,43680,15682,21815,13359,1131,295526,0,N,22.447300143539906,0.09430013597011566
09:58:12,11,94,0,1396766,63239,65345,23106,42103,7881,996,309993,0,N,0.1730998046696186,0.10249996557831764
09:58:13,1,96,0,1538114,60132,89860,20820,21535,8293,760,298200,0,N,0.15469989739358425,0.09520002640783787
09:58:14,1,97,0,1589279,181674,16112,48206,29461,10977,3211,285592,0,N,0.15079998411238194,0.09480002336204052
09:58:15,1,100,0,641439,33132,6048,20181,2762,2244,166,74602,0,N,0.16039982438087463,0.1029998529702425
09:58:16,1,97,0,1246599,249674,72556,21585,32777,5961,2322,285482,0,N,0.15600002370774746,0.09849993512034416
09:58:17,1,94,0,922989,17939,7664,13008,3066,1984,334,79702,0,N,0.16840011812746525,0.1105000264942646
09:58:18,1,91,0,697277,48623,7446,3032,3432,1673,343,72879,0,N,0.1680001150816679,0.1096001360565424
09:58:19,8,91,0,790835,3036,3349,3324,4200,2108,305,76546,0,N,0.15789992175996304,0.10159984230995178
09:58:20,21,91,0,2759021,140407,29960,23212,5703,11847,684,291403,0,N,3.3501998987048864,0.09729992598295212
09:58:21,14,84,0,1482111,124837,9180,58101,41232,5779,970,277900,0,N,0.1629998441785574,0.10619987733662128
09:58:22,30,83,0,21698,14815,2198,999,3616,2393,154,74990,0,N,2.5377999991178513,0.09569991379976273
09:58:23,20,83,0,690045,70631,33776,30253,19295,9634,1404,293622,0,N,0.15709991566836834,0.10080006904900074
09:58:24,26,87,0,2062988,59320,20216,24468,6926,12412,1569,266102,0,N,0.1531001180410385,0.0955001451075077
09:58:25,24,83,0,307270,90810,13835,11951,1928,3303,502,75461,0,N,0.16029994003474712,0.10309997014701366
09:58:26,16,90,0,2635523,36744,2274,11452,6417,3164,754,72923,0,N,0.1666999887675047,0.10910001583397388
09:58:27,11,88,0,1898993,332354,186566,48634,54078,25842,3408,1218583,0,N,0.1680001150816679,0.09580003097653389
09:58:28,8,93,0,1198604,14194,7916,9372,1674,2898,410,72864,0,N,0.1533001195639372,0.09620003402233124
09:58:29,20,100,0,343105,31525,3491,17224,4693,3989,715,69163,0,N,0.15219999477267265,0.0966999214142561
09:58:30,20,100,0,130612,29913,5889,6098,2820,3051,392,68159,0,N,0.1772001851350069,0.11859997175633907
09:58:31,23,97,0,466349,126650,45589,24839,10591,10297,571,270563,0,N,0.16649998724460602,0.10389997623860836
09:58:32,7,83,0,1314018,442018,45071,36338,3068,9236,786,281916,0,N,0.1525001134723425,0.0963001511991024
09:58:33,1,70,0,126608,14460,999,1001,906,744,97,16614,0,N,0.15389989130198956,0.09749992750585079
09:58:34,1,83,0,336968,18532,15893,17136,2080,1493,233,68277,0,N,0.17579994164407253,0.10139984078705311
09:58:35,1,75,0,617500,23876,1777,3908,6271,2511,881,60407,0,N,0.16329996287822723,0.10459986515343189
09:58:36,1,75,0,374379,373048,31432,45206,17066,4826,1463,260655,0,N,0.15400000847876072,0.09740004315972328
09:58:37,1,66,0,2050642,1111086,20749,52211,98874,55630,3465,1146185,0,N,0.19910000264644623,0.12310012243688107
09:58:38,8,61,0,2771198,79390,18214,73588,11303,9413,2232,256922,0,N,0.1767000649124384,0.12030010111629963
