timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
14:32:56,78,81,0,1072928,486152,207208,12213,2240,265186,3773,802829,0,L,0.1677999971434474,0.10569998994469643
14:32:57,69,78,0,142558,74831,23582,5613,7348,33715,306,219031,0,L,0.155999994603917,0.09830002090893686
14:32:58,57,54,0,267127,1124605,12742,1653,2190,196669,3369,887180,0,L,0.15189999248832464,0.09580000187270343
14:32:59,56,47,0,847960,452065,162325,14939,7075,227125,12902,834477,0,L,0.1846000086516142,0.10920001659542322
14:33:00,51,44,0,541536,677181,180730,19283,7501,253515,9227,837986,0,L,0.1561000244691968,0.09950000094249845
14:33:01,40,29,0,589470,1247444,48722,6643,7982,197177,3310,904374,0,L,2.6833000010810792,0.09709998266771436
14:33:02,50,53,0,360426,552807,104727,13956,5256,238640,5798,823335,0,L,0.15580002218484879,0.0990999978967011
14:33:03,56,61,0,907451,235457,328195,7021,8667,263271,4331,841457,0,L,0.16639998648315668,0.10659999679774046
14:33:04,63,70,0,1260830,176496,239960,18522,4855,201811,5271,822970,0,L,0.152900000102818,0.09549999958835542
14:33:05,74,87,0,626893,597388,135237,18411,5480,227298,4709,889788,0,L,0.15459998394362628,0.09439999121241271
14:33:06,80,100,0,2349625,98412,226016,26372,8386,186668,4532,867834,0,L,0.15400000847876072,0.09610000415705144
14:33:07,66,88,0,283931,842837,113005,19436,6981,218366,6470,869911,0,L,0.1540999801363796,0.0971999834291637
14:33:08,54,66,0,140999,1033446,66614,1819,7473,252852,7219,877609,0,L,0.1568000006955117,0.09819999104365706
14:33:09,53,64,0,1372643,698308,120613,17228,7693,204726,5064,840266,0,L,0.15249999705702066,0.09659997886046767
14:33:10,37,51,0,601063,794942,211145,12742,17682,209315,5408,885904,0,L,0.15380000695586205,0.09679998038336635
