attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,label,delta_mean,delta_std,delta_max,delta_min,delta_p2p,theta_mean,theta_std,theta_max,theta_min,theta_p2p,low_alpha_mean,low_alpha_std,low_alpha_max,low_alpha_min,low_alpha_p2p,high_alpha_mean,high_alpha_std,high_alpha_max,high_alpha_min,high_alpha_p2p,low_beta_mean,low_beta_std,low_beta_max,low_beta_min,low_beta_p2p,high_beta_mean,high_beta_std,high_beta_max,high_beta_min,high_beta_p2p,low_gamma_mean,low_gamma_std,low_gamma_max,low_gamma_min,low_gamma_p2p,mid_gamma_mean,mid_gamma_std,mid_gamma_max,mid_gamma_min,mid_gamma_p2p
1,29,822089,288914,101228,47291,8698,5355,4633,894779,N,822089.0,0.0,822089.0,822089.0,0.0,288914.0,0.0,288914.0,288914.0,0.0,101228.0,0.0,101228.0,101228.0,0.0,47291.0,0.0,47291.0,47291.0,0.0,8698.0,0.0,8698.0,8698.0,0.0,5355.0,0.0,5355.0,5355.0,0.0,4633.0,0.0,4633.0,4633.0,0.0,894779.0,0.0,894779.0,894779.0,0.0
1,57,913284,104734,43641,14405,25311,2914,594,231627,N,867686.5,64484.6029103072,913284.0,822089.0,91195.0,196824.0,130234.92695893832,288914.0,104734.0,184180.0,72434.5,40720.158208189714,101228.0,43641.0,57587.0,30848.0,23253.913606100803,47291.0,14405.0,32886.0,17004.5,11747.164955852115,25311.0,8698.0,16613.0,4134.5,1726.0476528763625,5355.0,2914.0,2441.0,2613.5,2856.0042892124657,4633.0,594.0,4039.0,563203.0,468919.27615742135,894779.0,231627.0,663152.0
1,56,470667,112533,2236,3295,4009,1543,516,232058,N,735346.6666666666,233710.56130678675,913284.0,470667.0,442617.0,168727.0,104158.01614374192,288914.0,104734.0,184180.0,49035.0,49715.94757218251,101228.0,2236.0,98992.0,21663.666666666668,22878.552955406365,47291.0,3295.0,43996.0,12672.666666666666,11193.403518739657,25311.0,4009.0,21302.0,3270.6666666666665,1930.8662132145078,5355.0,1543.0,3812.0,1914.3333333333333,2354.7573831147306,4633.0,516.0,4117.0,452821.3333333333,382746.6273977255,894779.0,231627.0,663152.0
1,44,599768,98837,5912,12443,3717,3853,508,223723,N,661239.6666666666,227621.45444648515,913284.0,470667.0,442617.0,105368.0,6869.976055271226,112533.0,98837.0,13696.0,17263.0,22917.840365095486,43641.0,2236.0,41405.0,10047.666666666666,5929.6915040610065,14405.0,3295.0,11110.0,11012.333333333334,12383.869239189073,25311.0,3717.0,21594.0,2770.0,1161.712959383685,3853.0,1543.0,2310.0,539.3333333333334,47.511402140268096,594.0,508.0,86.0,229136.0,4692.746210905645,232058.0,223723.0,8335.0
1,23,263131,316534,16538,13929,11084,8919,2681,887145,N,444522.0,169834.59073757613,599768.0,263131.0,336637.0,175968.0,121926.18820827625,316534.0,98837.0,217697.0,8228.666666666666,7427.113122427403,16538.0,2236.0,14302.0,9889.0,5758.704368171711,13929.0,3295.0,10634.0,6270.0,4171.601970466505,11084.0,3717.0,7367.0,4771.666666666667,3772.837835546783,8919.0,1543.0,7376.0,1235.0,1252.279122240725,2681.0,508.0,2173.0,447642.0,380643.5777902998,887145.0,223723.0,663422.0
1,16,1015544,126897,14066,16256,3292,1674,1216,227491,N,626147.6666666666,376899.51678442536,1015544.0,263131.0,752413.0,180756.0,118421.2390705316,316534.0,98837.0,217697.0,12172.0,5560.431278237326,16538.0,5912.0,10626.0,14209.333333333334,1921.8955053106588,16256.0,12443.0,3813.0,6031.0,4381.182831154165,11084.0,3292.0,7792.0,4815.333333333333,3717.132003754149,8919.0,1674.0,7245.0,1468.3333333333333,1108.2582430703296,2681.0,508.0,2173.0,446119.6666666667,381943.78897598706,887145.0,223723.0,663422.0
7,40,588591,61934,3229,13656,5375,6945,728,215173,N,622422.0,377345.641372734,1015544.0,263131.0,752413.0,168455.0,132289.79750154584,316534.0,61934.0,254600.0,11277.666666666666,7079.086970318512,16538.0,3229.0,13309.0,14613.666666666666,1428.8374061919417,16256.0,13656.0,2600.0,6583.666666666667,4034.1631515511813,11084.0,3292.0,7792.0,5846.0,3745.444833394293,8919.0,1674.0,7245.0,1541.6666666666667,1016.4134657379022,2681.0,728.0,1953.0,443269.6666666667,384456.65157119255,887145.0,215173.0,671972.0
21,44,719085,43876,8393,9719,9134,8777,630,236845,N,774406.6666666666,218786.6110033548,1015544.0,588591.0,426953.0,77569.0,43663.045347295694,126897.0,43876.0,83021.0,8562.666666666666,5420.491890348453,14066.0,3229.0,10837.0,13210.333333333334,3291.2089470790675,16256.0,9719.0,6537.0,5933.666666666667,2960.7975839853293,9134.0,3292.0,5842.0,5798.666666666667,3687.643194959802,8777.0,1674.0,7103.0,858.0,313.88532938001606,1216.0,630.0,586.0,226503.0,10869.728791462112,236845.0,215173.0,21672.0
30,75,239457,11675,4271,5051,687,1367,506,56060,N,515711.0,247980.59479725416,719085.0,239457.0,479628.0,39161.666666666664,25458.995941186156,61934.0,11675.0,50259.0,5297.666666666667,2730.7979297878082,8393.0,3229.0,5164.0,9475.333333333334,4307.6717996306625,13656.0,5051.0,8605.0,5065.333333333333,4232.005710456138,9134.0,687.0,8447.0,5696.333333333333,3859.585642699659,8777.0,1367.0,7410.0,621.3333333333334,111.25346436554109,728.0,506.0,222.0,169359.33333333334,98716.63029263743,236845.0,56060.0,180785.0
57,81,40997,9650,2736,3070,5073,2554,1834,600055,N,333179.6666666667,348624.13516756595,719085.0,40997.0,678088.0,21733.666666666668,19202.53499758126,43876.0,9650.0,34226.0,5133.333333333333,2925.4275471003175,8393.0,2736.0,5657.0,5946.666666666667,3413.7903177162534,9719.0,3070.0,6649.0,4964.666666666667,4224.541908104755,9134.0,687.0,8447.0,4232.666666666667,3980.00833332461,8777.0,1367.0,7410.0,990.0,733.5502709426268,1834.0,506.0,1328.0,297653.3333333333,277048.51571220026,600055.0,56060.0,543995.0
